source,target,score
NBEA,KYAT3,0.14330046
GPHN,RABL3,0.14313486
CSMD1,JOSD1,0.14312355
PAK3,MANBA,0.14306013
FRMD4A,DPF2,0.14305523
KHDRBS2,PRMT7,0.14304687
RABGAP1L,ASB13,0.14295055
PHACTR1,KYAT3,0.14294596
MGAT4C,MANBA,0.1428882
ADGRL3,SUCLG1,0.14283825
CALM1,ASB13,0.14279406
UNC13C,MANBA,0.14277244
PAM,RABL3,0.14275609
KHDRBS2,STAMBPL1,0.14272429
CACNA1A,RABL3,0.1427157
PRKN,RABL3,0.14267623
ADGRL3,AAK1,0.14267355
NYAP2,MANBA,0.14263034
TCF4,ESYT2,0.14262041
KCNB2,STAMBPL1,0.14259955
ADARB2,SUCLA2,0.14255844
MCTP1,ZFAND3,0.14250015
ASIC2,STAMBPL1,0.14246476
KCNIP4,PIR,0.14237902
DOCK3,GPLD1,0.14236362
DPP6,CIZ1,0.14233209
KCNIP4,CCDC6,0.14226452
HCN1,JOSD1,0.14219467
GRIA1,GPLD1,0.14209172
GRIN2B,APP,0.14204009
MYT1L,RABL3,0.14197811
NALF1,ANKRD16,0.14193754
CSMD1,ZNF519,0.14190628
ERBB4,ABHD6,0.14180854
ADGRB3,DPF2,0.1417998
RAPGEF4,ZNF277,0.14175732
FRMPD4,DPF2,0.14170463
JMJD1C,GPLD1,0.14164521
CDH12,RSBN1L,0.1415108
CSMD1,PISD,0.14149986
KCNIP4,PISD,0.14148758
LRRC7,LRRC28,0.14147858
MGAT4C,STAMBPL1,0.14143376
GRIK2,ESYT2,0.14134744
NRG1,MANBA,0.14131443
PTPRN2,ESYT2,0.14129198
SLC2A13,JOSD1,0.14129026
CSMD1,ZFAND3,0.14111987
CADPS,ASB13,0.14109112
SYT1,DPF2,0.14107367
RIMS2,DPF2,0.14104016
TNRC6A,GPLD1,0.14093752
HERC1,GPLD1,0.14087093
PCDH7,GOT1,0.14086533
LRRTM4,RSBN1L,0.14077176
ARID1B,ZFAND3,0.14076494
DOCK3,PGM1,0.14066051
CNTNAP5,PUM2,0.14054076
PHTF1,OSGEP,0.14051521
NRCAM,ZFAND3,0.14040534
ASIC2,DPF2,0.14037333
GALNT17,ASB13,0.14037187
BICD1,CCDC91,0.14034894
NBEA,ABHD6,0.14022265
MBD5,GPLD1,0.14020799
PHACTR1,PUM2,0.14020704
SBF2,GPLD1,0.14020252
LRRC4C,GPLD1,0.1401826
MACROD2,RABL3,0.14007775
ADARB2,GPLD1,0.14001901
GABBR2,ZFAND3,0.14001204
ROBO2,JOSD1,0.13998987
ASTN1,USP33,0.13984491
PTPRN2,RABL3,0.13979648
PHACTR1,GOT1,0.13978155
CDH12,CIZ1,0.13976966
TRHDE,EIPR1,0.13962963
BRAF,STAMBPL1,0.13961172
MCTP1,SUCLA2,0.1395588
SRRM4,GPLD1,0.13955654
SYT14,GPLD1,0.13949084
TSC22D1,CCDC6,0.13946415
ANKRD27,TBC1D1,0.1394474
SYT1,PISD,0.1394009
KDM6A,CRY2,0.13930307
RBFOX1,ABHD6,0.13923995
PAK3,RABL3,0.13920508
ROBO2,LRRC28,0.13905095
PHACTR1,CCDC6,0.13897283
FARP1,ESYT2,0.13895327
GRM5,CIZ1,0.13893352
CNTN4,RABL3,0.13893218
ANK2,TBC1D1,0.13888551
CSNK2A1,GOT1,0.13877907
MAPT,LRRC28,0.1387782
NLGN1,RABL3,0.13867433
CELF2,PUM2,0.13863243
DLGAP4,ABHD6,0.13862346
NALF1,RABL3,0.13856174
NBEA,RCOR3,0.13855883
FAT3,ANKRD16,0.13854644
SORCS2,STAMBPL1,0.13845009
KCNIP4,PUM2,0.13836117
AGBL4,ASXL2,0.13835353
CDKL5,OSGEP,0.138305
MACROD2,ZNF519,0.13827407
ERC2,GPLD1,0.1382735
LRRTM4,ZFAND3,0.13822718
TRPM3,ACTR1A,0.13819529
RNF24,MANBA,0.13810852
ATP8A2,PRMT7,0.13810816
EXOC4,RABL3,0.1380018
PHACTR1,PISD,0.13799167
COMMD1,GPLD1,0.13798536
SYT1,PUM2,0.13796908
RTN4,ASB13,0.13796811
ENSA,RABL3,0.1379054
TANC2,PRMT7,0.13785274
GALNTL6,RABL3,0.13777989
LRRTM4,ZNF519,0.13777833
CAMK2G,MANBA,0.13776158
ASAP1,RABL3,0.13771279
GABRB3,DPF2,0.13771148
RTN3,DPF2,0.13770275
KALRN,GOT1,0.13767284
RIMS1,JOSD1,0.1376145
CDH13,STAMBPL1,0.13759416
LRRTM4,PISD,0.13758592
PAM,GPLD1,0.13754134
THRB,JOSD1,0.13753302
R3HDM1,RSBN1L,0.1375078
GABRB3,ZFAND3,0.13749273
THRB,RABL3,0.1374729
LRFN5,DPF2,0.13746499
SYBU,ZFAND3,0.13732137
ANKS1B,CIZ1,0.13729595
RBFOX2,GOT1,0.13715355
ADGRL3,RGS12,0.13711531
TENM2,PUM2,0.13708279
SCN2A,PRMT7,0.13706829
SSBP3,GPLD1,0.13703622
TMEM232,STAMBPL1,0.13702276
KCNC2,ABCB8,0.13699362
HABP4,STAMBPL1,0.13693918
CDH18,CIZ1,0.13689584
SYT14,GOT1,0.13688622
LRRTM4,ASXL2,0.13683324
TOX,ATXN10,0.13673194
CDC42BPA,RABL3,0.13659585
KCNB2,JOSD1,0.13657679
PBX1,EIPR1,0.13656569
NRXN3,GPLD1,0.13649894
GRIP1,ESYT2,0.13647969
GABBR2,PISD,0.1364794
NSD3,ABCB8,0.13646752
SYT1,CDK19,0.13645376
NEDD4L,ABCB8,0.13630024
GPC6,PGM1,0.13624617
SYT1,ZNF248,0.13621119
NBEA,OSGEP,0.13612247
SLC35F3,CIZ1,0.13604106
FGF12,DPF2,0.13602433
PRKN,GPLD1,0.13602045
ANKS1B,GPLD1,0.13600497
FUT9,ACTR1A,0.13598
GRIA2,PISD,0.13597801
RIMS2,STAMBPL1,0.1359771
LRFN5,PRKAG2,0.13596402
GPM6A,MBNL2,0.13593002
SLC8A1,PUM2,0.1359026
PHACTR1,CDK19,0.13584526
GABRB3,ABCB8,0.13581116
RERE,ANKRD16,0.13580869
KAZN,GPLD1,0.13576011
CDS2,AAK1,0.13572828
LRRC28,RABL3,0.13569115
AGBL4,JOSD1,0.13567063
GRIA2,PUM2,0.135651
CADPS,KYAT3,0.13560855
SYNJ1,TRAF3,0.13554862
GNB5,ITFG1,0.13550168
HACD2,MANBA,0.13550161
NRG3,STAMBPL1,0.13545035
ASTN2,GPLD1,0.13544504
DPP10,STAMBPL1,0.13538344
NRXN3,DPF2,0.1353737
REV3L,RABL3,0.13535225
ARNT2,RABL3,0.13533051
OLFM3,RABL3,0.13528351
PDZD2,ZFAND3,0.13524956
ERC1,ATPAF2,0.13522051
SYNPR,ABHD6,0.13519548
GRM5,KYAT3,0.13515612
CHCHD3,ANKRD16,0.13514976
TNR,PIR,0.13513805
PCDH11Y,ESYT2,0.13512729
CNTNAP2,ABHD6,0.13510266
DSCAM,TBC1D1,0.13509484
MACROD2,ASB13,0.13504606
GRIP1,JOSD1,0.13494198
SORCS1,ATP2C1,0.13493179
KHDRBS2,PUM2,0.13487773
GRIN2B,PRMT7,0.13482329
STXBP5,RGS12,0.13480641
CYRIB,ASB13,0.13472213
ANK2,STAMBPL1,0.13469808
SH3GL2,RABL6,0.13466458
NEGR1,PISD,0.13464345
RUNX1T1,AAK1,0.13460422
ROBO2,STAMBPL1,0.13460399
LRRC4C,COG5,0.1345192
SERINC1,RABL3,0.13451879
ADGRB3,ABHD6,0.13451858
KALRN,CIZ1,0.13451307
PTPRD,GOT1,0.13451003
CSTF3,ABHD6,0.13448918
ADGRB3,PCED1B,0.13439919
ANKS1B,KYAT3,0.13431205
FBXL17,PRMT7,0.13430756
RBFOX1,PUM2,0.13426223
HERC4,ABCB8,0.1341855
RGS7,RABL3,0.13417242
SEC22C,ACTR1A,0.1341304
KLF12,AIG1,0.1341278
CELF2,KYAT3,0.13410036
GPC6,GALNT2,0.13393013
PDZD2,DPF2,0.13389356
RAPGEF4,JOSD1,0.13386734
RBFOX1,DPF2,0.13386418
GABRB3,ZNF277,0.13386312
GABRB3,APP,0.1338458
CACNA1B,ABHD6,0.13382308
KCNMA1,PUM2,0.13381548
NBEA,ATPAF2,0.13380228
GLS,DPF2,0.13375275
PCDH11X,JOSD1,0.1336255
LRFN5,PISD,0.13362062
ISY1-RAB43,BMAL1,0.13361509
SRRM4,ANKRD44,0.13360955
CSMD3,ABCB8,0.13360877
CNTNAP5,ABHD6,0.13352485
CADM2,KYAT3,0.13352118
KCNQ5,GPLD1,0.13350482
GRM5,ZFAND3,0.13337982
HERC2,GPLD1,0.13337909
PRICKLE1,CIZ1,0.13329884
ENTREP2,ABHD6,0.13329642
PDZD2,PIR,0.1332929
PAK3,ASXL2,0.13327615
NMNAT2,ZNF519,0.13326922
KCND2,ASB13,0.13326491
WDPCP,ITPR2,0.1331929
LDLRAD4,C2CD5,0.1331853
AGBL4,STAMBPL1,0.13314837
MBD5,PISD,0.13310085
LRFN5,JOSD1,0.13304675
AGBL4,ZFAND3,0.13299508
WDR7,RSBN1L,0.13299
PDE4D,CCDC6,0.13287151
MED13L,GPLD1,0.13280801
FRMPD4,KYAT3,0.13280125
CSMD3,PIR,0.13277404
NEGR1,CCDC6,0.13273513
RBMS1,ESYT2,0.13272394
TANC2,CIZ1,0.13262092
RTN3,ZFAND3,0.13256375
FAT3,LRRC28,0.1325596
CLASP2,GPLD1,0.13250525
GRIN2B,ABCB8,0.13242562
MCTP1,ESYT2,0.13241462
GRIP1,STAMBPL1,0.13236418
ROBO2,ZFAND3,0.13235803
HECTD4,RABL3,0.13226573
PRICKLE1,CCDC25,0.13222025
WDPCP,ASB13,0.13217646
RTN3,JOSD1,0.13217518
ADGRB3,KYAT3,0.13212307
KCNQ5,PRMT7,0.1321197
CSMD3,CIZ1,0.13211556
CACNA1A,PRKAG2,0.13211195
CLSTN2,GPLD1,0.13210161
CCDC57,STAMBPL1,0.13199632
CTNNA2,CDK19,0.13198054
FRMPD4,RCOR3,0.13196857
ANK3,KYAT3,0.13192981
PLEKHA5,PISD,0.13190915
SIPA1L1,DPF2,0.13189687
EVL,ESYT2,0.1318899
ALCAM,STAMBPL1,0.1318501
RGS7,STAMBPL1,0.13184474
SCN2A,SMIM8,0.1318273
SNTG1,ANKRD16,0.1318251
MED13L,ACTR1A,0.13178955
LRRC4C,ANKRD16,0.13176347
PDZD2,PISD,0.13175873
SYT1,UNC80,0.13174467
ARPP19,LRRC28,0.13174428
LHFPL3,PIR,0.13152866
NRXN1,PUM2,0.13142677
GRIA2,ABCB8,0.13142379
GRID1,ANKRD16,0.13141899
MCTP1,ZNF248,0.13138731
KALRN,ABCB8,0.1313401
PTPRN2,PGM1,0.13130976
ZSWIM6,ACTR1A,0.13127275
RANBP9,JOSD1,0.1312434
CELF2,ESYT2,0.13121796
LCMT1,FCF1,0.13120456
HOMER1,PISD,0.13119619
TANC2,DPF2,0.13115795
SYT14,ASB13,0.13114716
LDLRAD4,PRKAG2,0.13113953
PCDH15,PIR,0.1310855
ERC2,PUM2,0.13107093
DNM3,AIG1,0.13105746
OLFM3,ABHD6,0.1309531
PRKN,CPD,0.13092934
CNTN4,ATPAF2,0.13089505
GRIN2B,PUM2,0.13084705
KCNIP1,ABCB8,0.13084014
MCTP1,RSBN1L,0.13083798
NLGN1,ZFAND3,0.13081245
FSTL5,SUCLA2,0.13076393
TAFA2,RABL3,0.13076206
PAK3,ASB13,0.13074273
TNRC18,ATP2C1,0.13073622
SYNE1,PUM2,0.13070336
RALYL,DPF2,0.13068412
TENM2,PRKAG2,0.13067035
LRRC4C,AIG1,0.13056593
RAB3B,SUCLG1,0.13056223
PTPRS,ATP2C1,0.13056122
LINGO2,APP,0.13048846
SYBU,MAPRE2,0.13045214
RPS6KA2,RABL3,0.1304373
FRMPD4,ZNF638,0.13040297
BRAF,EIPR1,0.13039078
FRMD4A,ABHD6,0.13037871
GRIA2,ASXL2,0.13037622
SUSD4,GPLD1,0.13033451
RPS6KA2,ASB13,0.1303172
ATP2B1,RABL3,0.1303034
CSMD3,RABL3,0.1302703
PLCB1,DPF2,0.13019899
KCNIP4,RSBN1L,0.13019428
FRMPD4,SLC7A6,0.13013366
KIRREL3,PGM1,0.13012393
RBFOX2,GPLD1,0.12997407
KATNBL1,ZFAND3,0.1299274
CNTNAP5,ZNF519,0.12991647
GPHN,KYAT3,0.12991096
PPP3CA,RABL3,0.12990053
RGS6,ABHD6,0.12988457
SCN2A,GOT1,0.12986985
NEGR1,ZFAND3,0.12984939
FUT9,ABCB8,0.12984674
CSMD1,CDK19,0.12981611
ZFAND3,GPLD1,0.12980103
CSMD1,KYAT3,0.12979393
KMT2E,RABL3,0.12976828
CACNA1B,PRMT7,0.12976496
SYT1,KYAT3,0.12974681
SLC4A10,GPLD1,0.12970798
INPP5F,RABL3,0.12966664
DPP6,ZNF519,0.12963639
PNPT1,GLUD1,0.12959301
RYR3,CYRIB,0.12958084
RIMS2,PGM1,0.12955852
LINGO2,PUM2,0.12954605
HECW1,JOSD1,0.12954016
FBXL17,GPLD1,0.1295377
SYNE1,GPLD1,0.12950483
HCN1,ZNF277,0.12949036
SRSF4,ACTR1A,0.1294852
AKT3,C2CD5,0.12948145
RYR2,STAMBPL1,0.12944315
PTPRN2,CDK19,0.12937528
ATP2B2,PRMT7,0.12936465
TCF4,GPLD1,0.12933633
ANK2,OSGEP,0.1293197
NOL4,GPLD1,0.12930064
KCNJ3,ASB13,0.1292671
NRG3,CCDC6,0.1292357
NCOA1,GPLD1,0.12919463
KIF1B,ACTR1A,0.12914135
MAPK14,ZNF248,0.12913954
VSNL1,JOSD1,0.12910368
ZEB1,PIR,0.12907837
GRIA2,SLC7A6,0.12904589
LRFN2,ABHD6,0.12902693
SLC36A4,GPLD1,0.12899983
MAPKAP1,DPF2,0.12897675
GABRB3,PRKAG2,0.12894805
TMEM178B,ABCB8,0.12893894
TRIM9,ASXL2,0.12889993
GRM5,STAMBPL1,0.12889646
PPFIA2,PISD,0.12888011
PPP3CA,SUCLG1,0.12884997
AFF3,EIF2AK4,0.12883441
MYT1L,ANKRD16,0.12883024
XKR6,JOSD1,0.1288092
GAD1,AAK1,0.12879239
MARCHF1,KYAT3,0.12876752
MBP,RB1CC1,0.12875167
KCNH5,GOT1,0.12874863
TANC2,RSBN1L,0.12872429
SYN3,KYAT3,0.1287007
MCTP1,ASXL2,0.12868755
MEF2C,ZFAND3,0.12867208
CADPS,MMP16,0.12866622
KALRN,PUM2,0.12865262
ZNF385B,RCOR3,0.12861718
LHFPL3,COG5,0.12859114
BCAS1,ACTR1A,0.12856996
HCN1,ESYT2,0.12853663
TAFA2,DPF2,0.12852342
SNTG1,JOSD1,0.1284977
GNB5,CAMTA1,0.12849367
ANK3,PCED1B,0.12849198
GABRB3,CCDC25,0.12848398
SYT1,ASXL2,0.12846915
TMEM178B,CIZ1,0.12846477
PPFIA2,ZFAND3,0.12840047
NETO1,EIPR1,0.12836318
CSGALNACT1,RABL3,0.12830646
RYK,RABL3,0.12818141
CSMD2,GALNT2,0.12816389
UBR1,UBLCP1,0.12814455
GPC6,PRMT7,0.12809761
AGAP1,RB1CC1,0.12808706
RGS7,PISD,0.12800281
PCDH15,ESYT2,0.12797713
SNRPN,GPLD1,0.12797171
ERBB4,RABL3,0.12787682
NRCAM,RSBN1L,0.12787189
CEP44,TRAF3,0.12785025
LRRC4C,KYAT3,0.12784633
CNTN5,ABHD6,0.1277862
MED13L,C2CD5,0.12778077
RBM33,RGS12,0.12774931
EPHA6,SUCLA2,0.12766792
PCSK2,RSBN1L,0.12766407
R3HDM1,ASXL2,0.12763567
GABBR2,PRMT7,0.12763333
IL1RAPL1,GPLD1,0.12761039
NEGR1,STAMBPL1,0.12760283
SLC4A10,STAMBPL1,0.12759143
GABRB2,GPLD1,0.12755083
KALRN,ASXL2,0.12751849
TRIO,GPLD1,0.12751083
CACNA1C,CUL1,0.12750857
GRID2,GALNT2,0.1275075
ZBTB20,ASB13,0.1275052
NXPH1,ESYT2,0.12747107
RABGAP1L,STAMBPL1,0.1274469
GPHN,SMIM8,0.12742491
FRMPD4,VEZT,0.1274146
CNOT4,GPLD1,0.12741123
KCND2,AIG1,0.12738766
CADPS,PUS7L,0.12735929
CNOT4,PCED1B,0.12731366
TTC3,PUM2,0.12730606
C8ORF34,RGS12,0.12729375
MYRIP,STAMBPL1,0.12726471
PTPRZ1,COG5,0.12725662
MYRIP,ABCB8,0.12724192
LRFN5,ZNF638,0.12723252
CLSTN3,RABL3,0.12721665
GRIK1,GALNT2,0.12721577
POU6F2,RSBN1L,0.12719335
NBEA,ENTPD3,0.12718861
CHST11,PIR,0.12714197
ELMO1,PGM1,0.1271294
EML6,PGM1,0.12704271
CSMD3,ZFAND3,0.12703307
KCNIP4,SLC7A6,0.12701948
GABRG3,ASB13,0.12701501
CACNA2D3,ZFAND3,0.12698252
SGCZ,ABCB8,0.1269737
PTPRZ1,TRAF3,0.12696539
ERC2,STAMBPL1,0.12694173
ENSG00000285283,OGFRL1,0.12692252
ERC2,RSBN1L,0.12689283
TCEAL3,CRTAP,0.1268747
POU6F2,OSGEP,0.1268592
LRRC7,DPF2,0.12683232
GRIA2,JOSD1,0.12682514
